sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Myloplus torquatus,species,Myloplus torquatus,eats,Virola duckei,species,Virola duckei,-1.275555,-69.73055,Caqueta,Colombia,Myloplus torquatus_Virola duckei,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Cayaponia cruegeri,species,Cayaponia cruegeri,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Cayaponia cruegeri,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Amaioua guianensis,species,Amaioua guianensis,-1.1451111,-69.487222,Apaporis,Colombia,Amaioua guianensis_Myloplus asterias,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Ficus americana,species,Ficus americana,-1.1451111,-69.487222,Apaporis,Colombia,Ficus americana_Myloplus torquatus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Byrsonima japurensis,species,Byrsonima japurensis,-1.1451111,-69.487222,Apaporis,Colombia,Byrsonima japurensis_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Apeiba membranacea,species,Apeiba membranacea,-1.275555,-69.73055,Caqueta,Colombia,Apeiba membranacea_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Cayaponia cruegeri,species,Cayaponia cruegeri,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Cayaponia cruegeri,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Genipa americana,species,Genipa americana,-1.275555,-69.73055,Caqueta,Colombia,Genipa americana_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Byrsonima japurensis,species,Byrsonima japurensis,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Byrsonima japurensis,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Oxandra leucodermis,species,Oxandra leucodermis,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Oxandra leucodermis,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Stachyarrhena penduliflora,species,Stachyarrhena penduliflora,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Stachyarrhena penduliflora,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Amaioua guianensis,species,Amaioua guianensis,-1.1451111,-69.487222,Apaporis,Colombia,Amaioua guianensis_Myloplus torquatus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Virola duckei,species,Virola duckei,-1.275555,-69.73055,Caqueta,Colombia,Mylossoma duriventris_Virola duckei,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Zygia longifolia,species,Zygia longifolia,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Zygia longifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus torquatus_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Cecropia distachya,species,Cecropia distachya,-1.1451111,-69.487222,Apaporis,Colombia,Cecropia distachya_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Zygia longifolia,species,Zygia longifolia,-1.275555,-69.73055,Caqueta,Colombia,Myloplus torquatus_Zygia longifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Psychotria lupulina,species,Psychotria lupulina,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Psychotria lupulina,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Mauritiella aculeata,species,Mauritiella aculeata,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Mauritiella aculeata,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Virola duckei,species,Virola duckei,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Virola duckei,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Brycon melanopterus_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Miconia truncata,species,Miconia truncata,-1.1451111,-69.487222,Apaporis,Colombia,Miconia truncata_Myloplus rubripinnis,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Amaioua guianensis,species,Amaioua guianensis,-1.1451111,-69.487222,Apaporis,Colombia,Amaioua guianensis_Brycon melanopterus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Annona hypoglauca,species,Annona hypoglauca,-1.275555,-69.73055,Caqueta,Colombia,Annona hypoglauca_Brycon amazonicus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Amaioua guianensis,species,Amaioua guianensis,-1.275555,-69.73055,Caqueta,Colombia,Amaioua guianensis_Brycon falcatus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Alchornea fluviatilis,species,Alchornea fluviatilis,-1.275555,-69.73055,Caqueta,Colombia,Alchornea fluviatilis_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
